"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"No","3","Male",22,1,0,7.25,"S"
"Yes","1","Female",38,1,0,71.2833,"C"
"Yes","3","Female",26,0,0,7.925,"S"
"Yes","1","Female",35,1,0,53.1,"S"
"No","3","Male",35,0,0,8.05,"S"
"No","3","Male",NA,0,0,8.4583,"Q"
"No","1","Male",54,0,0,51.8625,"S"
"No","3","Male",2,3,1,21.075,"S"
"Yes","3","Female",27,0,2,11.1333,"S"
"Yes","2","Female",14,1,0,30.0708,"C"
"Yes","3","Female",4,1,1,16.7,"S"
"Yes","1","Female",58,0,0,26.55,"S"
"No","3","Male",20,0,0,8.05,"S"
"No","3","Male",39,1,5,31.275,"S"
"No","3","Female",14,0,0,7.8542,"S"
"Yes","2","Female",55,0,0,16,"S"
"No","3","Male",2,4,1,29.125,"Q"
"Yes","2","Male",NA,0,0,13,"S"
"No","3","Female",31,1,0,18,"S"
"Yes","3","Female",NA,0,0,7.225,"C"
"No","2","Male",35,0,0,26,"S"
"Yes","2","Male",34,0,0,13,"S"
"Yes","3","Female",15,0,0,8.0292,"Q"
"Yes","1","Male",28,0,0,35.5,"S"
"No","3","Female",8,3,1,21.075,"S"
"Yes","3","Female",38,1,5,31.3875,"S"
"No","3","Male",NA,0,0,7.225,"C"
"No","1","Male",19,3,2,263,"S"
"Yes","3","Female",NA,0,0,7.8792,"Q"
"No","3","Male",NA,0,0,7.8958,"S"
"No","1","Male",40,0,0,27.7208,"C"
"Yes","1","Female",NA,1,0,146.5208,"C"
"Yes","3","Female",NA,0,0,7.75,"Q"
"No","2","Male",66,0,0,10.5,"S"
"No","1","Male",28,1,0,82.1708,"C"
"No","1","Male",42,1,0,52,"S"
"Yes","3","Male",NA,0,0,7.2292,"C"
"No","3","Male",21,0,0,8.05,"S"
"No","3","Female",18,2,0,18,"S"
"Yes","3","Female",14,1,0,11.2417,"C"
"No","3","Female",40,1,0,9.475,"S"
"No","2","Female",27,1,0,21,"S"
"No","3","Male",NA,0,0,7.8958,"C"
"Yes","2","Female",3,1,2,41.5792,"C"
"Yes","3","Female",19,0,0,7.8792,"Q"
"No","3","Male",NA,0,0,8.05,"S"
"No","3","Male",NA,1,0,15.5,"Q"
"Yes","3","Female",NA,0,0,7.75,"Q"
"No","3","Male",NA,2,0,21.6792,"C"
"No","3","Female",18,1,0,17.8,"S"
"No","3","Male",7,4,1,39.6875,"S"
"No","3","Male",21,0,0,7.8,"S"
"Yes","1","Female",49,1,0,76.7292,"C"
"Yes","2","Female",29,1,0,26,"S"
"No","1","Male",65,0,1,61.9792,"C"
"Yes","1","Male",NA,0,0,35.5,"S"
"Yes","2","Female",21,0,0,10.5,"S"
"No","3","Male",28.5,0,0,7.2292,"C"
"Yes","2","Female",5,1,2,27.75,"S"
"No","3","Male",11,5,2,46.9,"S"
"No","3","Male",22,0,0,7.2292,"C"
"Yes","1","Female",38,0,0,80,""
"No","1","Male",45,1,0,83.475,"S"
"No","3","Male",4,3,2,27.9,"S"
"No","1","Male",NA,0,0,27.7208,"C"
"Yes","3","Male",NA,1,1,15.2458,"C"
"Yes","2","Female",29,0,0,10.5,"S"
"No","3","Male",19,0,0,8.1583,"S"
"Yes","3","Female",17,4,2,7.925,"S"
"No","3","Male",26,2,0,8.6625,"S"
"No","2","Male",32,0,0,10.5,"S"
"No","3","Female",16,5,2,46.9,"S"
"No","2","Male",21,0,0,73.5,"S"
"No","3","Male",26,1,0,14.4542,"C"
"Yes","3","Male",32,0,0,56.4958,"S"
"No","3","Male",25,0,0,7.65,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"No","3","Male",NA,0,0,8.05,"S"
"Yes","2","Male",0.83,0,2,29,"S"
"Yes","3","Female",30,0,0,12.475,"S"
"No","3","Male",22,0,0,9,"S"
"Yes","3","Male",29,0,0,9.5,"S"
"Yes","3","Female",NA,0,0,7.7875,"Q"
"No","1","Male",28,0,0,47.1,"S"
"Yes","2","Female",17,0,0,10.5,"S"
"Yes","3","Female",33,3,0,15.85,"S"
"No","3","Male",16,1,3,34.375,"S"
"No","3","Male",NA,0,0,8.05,"S"
"Yes","1","Female",23,3,2,263,"S"
"No","3","Male",24,0,0,8.05,"S"
"No","3","Male",29,0,0,8.05,"S"
"No","3","Male",20,0,0,7.8542,"S"
"No","1","Male",46,1,0,61.175,"S"
"No","3","Male",26,1,2,20.575,"S"
"No","3","Male",59,0,0,7.25,"S"
"No","3","Male",NA,0,0,8.05,"S"
"No","1","Male",71,0,0,34.6542,"C"
"Yes","1","Male",23,0,1,63.3583,"C"
"Yes","2","Female",34,0,1,23,"S"
"No","2","Male",34,1,0,26,"S"
"No","3","Female",28,0,0,7.8958,"S"
"No","3","Male",NA,0,0,7.8958,"S"
"No","1","Male",21,0,1,77.2875,"S"
"No","3","Male",33,0,0,8.6542,"S"
"No","3","Male",37,2,0,7.925,"S"
"No","3","Male",28,0,0,7.8958,"S"
"Yes","3","Female",21,0,0,7.65,"S"
"Yes","3","Male",NA,0,0,7.775,"S"
"No","3","Male",38,0,0,7.8958,"S"
"Yes","3","Female",NA,1,0,24.15,"Q"
"No","1","Male",47,0,0,52,"S"
"No","3","Female",14.5,1,0,14.4542,"C"
"No","3","Male",22,0,0,8.05,"S"
"No","3","Female",20,1,0,9.825,"S"
"No","3","Female",17,0,0,14.4583,"C"
"No","3","Male",21,0,0,7.925,"S"
"No","3","Male",70.5,0,0,7.75,"Q"
"No","2","Male",29,1,0,21,"S"
"No","1","Male",24,0,1,247.5208,"C"
"No","3","Female",2,4,2,31.275,"S"
"No","2","Male",21,2,0,73.5,"S"
"No","3","Male",NA,0,0,8.05,"S"
"No","2","Male",32.5,1,0,30.0708,"C"
"Yes","2","Female",32.5,0,0,13,"S"
"No","1","Male",54,0,1,77.2875,"S"
"Yes","3","Male",12,1,0,11.2417,"C"
"No","3","Male",NA,0,0,7.75,"Q"
"Yes","3","Male",24,0,0,7.1417,"S"
"Yes","3","Female",NA,1,1,22.3583,"C"
"No","3","Male",45,0,0,6.975,"S"
"No","3","Male",33,0,0,7.8958,"C"
"No","3","Male",20,0,0,7.05,"S"
"No","3","Female",47,1,0,14.5,"S"
"Yes","2","Female",29,1,0,26,"S"
"No","2","Male",25,0,0,13,"S"
"No","2","Male",23,0,0,15.0458,"C"
"Yes","1","Female",19,0,2,26.2833,"S"
"No","1","Male",37,1,0,53.1,"S"
"No","3","Male",16,0,0,9.2167,"S"
"No","1","Male",24,0,0,79.2,"C"
"No","3","Female",NA,0,2,15.2458,"C"
"Yes","3","Female",22,0,0,7.75,"S"
"Yes","3","Female",24,1,0,15.85,"S"
"No","3","Male",19,0,0,6.75,"Q"
"No","2","Male",18,0,0,11.5,"S"
"No","2","Male",19,1,1,36.75,"S"
"Yes","3","Male",27,0,0,7.7958,"S"
"No","3","Female",9,2,2,34.375,"S"
"No","2","Male",36.5,0,2,26,"S"
"No","2","Male",42,0,0,13,"S"
"No","2","Male",51,0,0,12.525,"S"
"Yes","1","Female",22,1,0,66.6,"S"
"No","3","Male",55.5,0,0,8.05,"S"
"No","3","Male",40.5,0,2,14.5,"S"
"No","3","Male",NA,0,0,7.3125,"S"
"No","1","Male",51,0,1,61.3792,"C"
"Yes","3","Female",16,0,0,7.7333,"Q"
"No","3","Male",30,0,0,8.05,"S"
"No","3","Male",NA,0,0,8.6625,"S"
"No","3","Male",NA,8,2,69.55,"S"
"No","3","Male",44,0,1,16.1,"S"
"Yes","2","Female",40,0,0,15.75,"S"
"No","3","Male",26,0,0,7.775,"S"
"No","3","Male",17,0,0,8.6625,"S"
"No","3","Male",1,4,1,39.6875,"S"
"Yes","3","Male",9,0,2,20.525,"S"
"Yes","1","Female",NA,0,1,55,"S"
"No","3","Female",45,1,4,27.9,"S"
"No","1","Male",NA,0,0,25.925,"S"
"No","3","Male",28,0,0,56.4958,"S"
"No","1","Male",61,0,0,33.5,"S"
"No","3","Male",4,4,1,29.125,"Q"
"Yes","3","Female",1,1,1,11.1333,"S"
"No","3","Male",21,0,0,7.925,"S"
"No","1","Male",56,0,0,30.6958,"C"
"No","3","Male",18,1,1,7.8542,"S"
"No","3","Male",NA,3,1,25.4667,"S"
